index,wine_name,wine_country,wine_region,wine_winery,wine_type,wine_grape,wine_image,body,texture,sweetness,acidity,flavor1,flavor2,flavor3
1767,Diamond Pinot Noir 2022,New Zealand,Central Otago,Gibbston Valley,Red wine,Pinot Noir,https://images.vivino.com/thumbs/7NC3a1PARJiYFDbYwCxC4A_150x200.jpg,31.922,31.2944,16.2043,64.422,red fruit,oaky,spices
1768,Clos des Cistes 1998,France,Languedoc,Peyre Rose,Red wine,Blend,https://images.vivino.com/thumbs/UzoEJY0VS4elAHPWU2MF6Q_pb_x600.png,74.6505,67.5099,21.6837,68.7,earthy,oaky,black fruit
1769,Volare 2021,New Zealand,Matakana,Heron's Flight,Red wine,Blend,https://images.vivino.com/thumbs/d0GyB_68S9iBdnVx2jV8mQ_150x200.jpg,54.8149,53.8591,27.6464,51.2058,black fruit,red fruit,spices
1770,Saint-Julien (Grand Cru Classé) 1975,France,Saint-Julien,Château Lagrange,Red wine,Blend,https://images.vivino.com/thumbs/hUMIPR9KTVK0g0Tw8lpuOQ_pb_x600.png,69.7776,72.9282,14.717749999999999,80.8145,oaky,black fruit,earthy
1771,Pauillac (Grand Cru Classé) 1966,France,Pauillac,Château Lynch-Bages,Red wine,Blend,https://images.vivino.com/thumbs/1YXUHwcmS7i4jvfW2oOJJA_pb_x600.png,79.9215,80.6422,15.75147,79.4818,oaky,black fruit,earthy
1772,GR Reserve Shiraz 2006,Australia,Barossa,Bethany,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/msy9ddjGQciQ03r5RZPpGg_pb_x600.png,91.0717,49.5097,24.4748,47.8663,black fruit,oaky,spices
1773,Cornas 2001,France,Cornas,Auguste Clape,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/Zb605wBwRCKVkg6kXEffDg_pb_x600.png,91.6662,60.6506,15.32202,63.6535,black fruit,earthy,spices
1774,Pomerol 2003,France,Pomerol,Château Lafleur,Red wine,Blend,https://images.vivino.com/thumbs/iB_ZEZB6RnKcBBaScmvcPw_pb_x600.png,77.2975,63.9762,20.1553,59.3177,earthy,oaky,black fruit
1775,Reserva Terroir Syrah (Los Cactus) 2012,Chile,Colchagua Valley,TerraNoble,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/jUQ75KC9SE28AM4o1dU0ig_pb_x600.png,92.5,43.4,정보 없음,32.7,black fruit,oaky,red fruit
1776,Fiona Rouge 2000,France,Hérault,Château Capion,Red wine,Blend,https://images.vivino.com/thumbs/ymvxM2IbQ0mlglR9LqhXCg_pb_x600.png,76.1953,75.9375,13.21875,71.7656,black fruit,earthy,oaky
1777,Morey-Saint-Denis 2014,France,Morey-Saint-Denis,Domaine Stephane Magnien,Red wine,Pinot Noir,https://images.vivino.com/thumbs/UqiAg3qNR3C-mZpsgVoM7Q_pb_x600.png,44.1677,42.3327,9.83333,81.6487,red fruit,earthy,oaky
1778,Chambertin Clos de Beze Grand Cru 2013,France,Chambertin-Clos de Bèze Grand Cru,Domaine Armand Rousseau,Red wine,Pinot Noir,https://images.vivino.com/thumbs/0sC_c_PjQsKM1kesmg9zDw_pb_x600.png,54.0392,43.3856,20.2271,80.1543,earthy,red fruit,black fruit
1779,Larose Red Blend 2011,New Zealand,Waiheke Island,Stonyridge Vineyard,Red wine,Blend,https://images.vivino.com/thumbs/zvZMN1UGTtyNk_LC4p9zPA_pb_x600.png,74.3606,65.94,15.258939999999999,70.2638,black fruit,oaky,earthy
1780,Red Palette 2011,Canada,Niagara Peninsula,13th Street,Red wine,Blend,https://images.vivino.com/thumbs/pOjPIe38RnS3-d2OzlFDoQ_pb_x600.png,정보 없음,정보 없음,정보 없음,정보 없음,black fruit,red fruit,oaky
1781,Pagis Vernatsch 2016,Italy,Südtirol - Alto Adige,St. Michael-Eppan,Red wine,Blend,https://images.vivino.com/thumbs/ka1vGM1uSvqfuMRLjbK98w_pb_x600.png,51.6898,40.3003,18.4202,39.7521,red fruit,spices,oaky
1782,Altum Cabernet Sauvignon 2010,Chile,Curico Valley,TerraMater,Red wine,Cabernet Sauvignon,https://images.vivino.com/thumbs/LUekFpB2SdGj_ldpgmdoTg_150x200.jpg,84.6377,56.9526,17.254269999999998,51.2902,oaky,earthy,black fruit
